Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock,Source,PaperScene,AlgorithmOrder
1,HHO,15,20271245,746.238705445119,5.3461899,0,2,11386,NaN,NaN,NaN,NaN,0,0,0.0011749,formal-main,1,4
1,HHO,16,20271246,351.012844906678,5.406657,1,0,11422,NaN,NaN,NaN,NaN,0,0,0.0017601,formal-main,1,4
1,HHO,17,20271247,344.873141758855,5.4065012,1,0,11466,NaN,NaN,NaN,NaN,0,0,0.0019833,formal-main,1,4
1,HHO,18,20271248,360.208106499737,5.369894,1,0,11375,NaN,NaN,NaN,NaN,0,0,0.0015197,formal-main,1,4
1,HHO,19,20271249,423.886160145567,5.4149739,1,0,11529,NaN,NaN,NaN,NaN,0,0,0.0019652,formal-main,1,4
1,HHO,20,20271250,346.620793739143,5.3455028,1,0,11370,NaN,NaN,NaN,NaN,0,0,0.0017578,formal-main,1,4
1,HHO,21,20271251,319.346981368829,5.4642053,1,0,11564,NaN,NaN,NaN,NaN,0,0,0.0017487,formal-main,1,4
1,HHO,22,20271252,742.119198912936,5.3880303,0,2,11467,NaN,NaN,NaN,NaN,0,0,0.0017169,formal-main,1,4
1,HHO,23,20271253,321.105031648553,5.3342499,1,0,11364,NaN,NaN,NaN,NaN,0,0,0.0015847,formal-main,1,4
1,HHO,24,20271254,347.234025266232,5.5138447,1,0,11721,NaN,NaN,NaN,NaN,0,0,0.0016482,formal-main,1,4
1,HHO,25,20271255,380.931706727979,5.3640605,1,0,11367,NaN,NaN,NaN,NaN,0,0,0.0016074,formal-main,1,4
1,HHO,26,20271256,365.590129976186,9.1328177,1,0,11518,NaN,NaN,NaN,NaN,0,0,0.0009993,formal-main,1,4
1,HHO,27,20271257,338.42630125602,5.5792718,1,0,11437,NaN,NaN,NaN,NaN,0,0,0.0010607,formal-main,1,4
1,HHO,28,20271258,937.737318215705,12.9930193,0,3,11669,NaN,NaN,NaN,NaN,0,0,0.0018632,formal-main,1,4
1,HHO,29,20271259,360.77549133429,17.7943602,1,0,11457,NaN,NaN,NaN,NaN,0,0,0.0018968,formal-main,1,4
1,HHO,30,20271260,314.993424085543,21.7936714,1,0,11331,NaN,NaN,NaN,NaN,0,0,0.0010714,formal-main,1,4
1,ERIME,1,20270902,324.101743568398,7.550772,1,2.8421709430404e-14,9522,NaN,NaN,NaN,NaN,0,0,7.5718215,recent-improved,1,5
1,ERIME,2,20270903,323.659094851956,8.1862873,1,1.59872115546023e-14,9492,NaN,NaN,NaN,NaN,0,0,8.2163706,recent-improved,1,5
1,ERIME,3,20270904,328.035171949372,8.1508825,1,0,9447,NaN,NaN,NaN,NaN,0,0,8.1772094,recent-improved,1,5
1,ERIME,4,20270905,315.478094055251,8.2530593,1,4.44089209850063e-14,9489,NaN,NaN,NaN,NaN,0,0,8.2729013,recent-improved,1,5
