ParamKey,ParamLabel,Level,LevelLabel,Scene,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount
step_strength,CVF step strength,default,default CVF field strength,4,9,20500840,331.47542497268,28.8573943,1,0,9386,0,276,164,80,52
step_strength,CVF step strength,default,default CVF field strength,4,10,20500841,375.459646423277,27.8670812,1,0,9347,0,223,179,94,55
step_strength,CVF step strength,strong,1.25x CVF field strength,2,1,20480932,311.229838649598,29.019328,1,0,9568,11,511,309,27,16
step_strength,CVF step strength,strong,1.25x CVF field strength,2,2,20480933,301.803440985756,28.4062742,1,0,9551,3,513,310,8,5
step_strength,CVF step strength,strong,1.25x CVF field strength,2,3,20480934,304.941251252081,29.5561562,1,0,9549,3,512,327,7,7
step_strength,CVF step strength,strong,1.25x CVF field strength,2,4,20480935,299.029445203675,29.5185325,1,0,9575,18,513,292,32,23
step_strength,CVF step strength,strong,1.25x CVF field strength,2,5,20480936,300.233896145883,28.9404557,1,0,9551,7,510,294,11,7
step_strength,CVF step strength,strong,1.25x CVF field strength,2,6,20480937,299.40260682508,28.0226667,1,0,9548,3,511,319,7,4
step_strength,CVF step strength,strong,1.25x CVF field strength,2,7,20480938,299.184052024646,28.475182,1,0,9557,6,512,320,15,10
step_strength,CVF step strength,strong,1.25x CVF field strength,2,8,20480939,303.044835002258,28.6971682,1,0,9551,2,509,319,12,10
step_strength,CVF step strength,strong,1.25x CVF field strength,2,9,20480940,296.843297930101,29.9434847,1,0,9554,8,511,334,13,10
step_strength,CVF step strength,strong,1.25x CVF field strength,2,10,20480941,301.952976223678,29.9060984,1,0,9544,0,509,344,5,3
step_strength,CVF step strength,strong,1.25x CVF field strength,4,1,20500932,333.773378947122,14.0771404,1,0,9426,0,326,179,70,56
step_strength,CVF step strength,strong,1.25x CVF field strength,4,2,20500933,365.058753437914,5.6928585,1,0,9306,0,184,141,92,58
step_strength,CVF step strength,strong,1.25x CVF field strength,4,3,20500934,333.021525791639,5.8334572,1,0,9364,0,255,176,79,54
step_strength,CVF step strength,strong,1.25x CVF field strength,4,4,20500935,366.447781947863,6.0577683,1,0,9277,0,168,126,79,56
step_strength,CVF step strength,strong,1.25x CVF field strength,4,5,20500936,337.709419950672,5.8397363,1,0,9320,0,191,127,99,62
